inventor_id,name,country
INV0001,Emma Tanaka,CA
INV0002,Park Wang,FR
INV0003,Sofia Dupont,CA
INV0004,Alice Hassan,FR
INV0005,James Patel,GB
INV0006,Omar Garcia,FR
INV0007,Park Kim,IN
INV0008,Kenji Kim,GB
INV0009,Priya Sato,DE
INV0010,Alice Wang,TW
INV0011,James Smith,US
INV0012,Hans Lee,US
INV0013,Kenji Tanaka,DE
INV0014,John Mueller,KR
INV0015,Min Hassan,FR
INV0016,John Patel,DE
INV0017,Sofia Sato,CA
INV0018,Kenji Lee,IN
INV0019,Yuki Zhang,US
INV0020,Li Dupont,JP
INV0021,Yuki Mueller,FR
INV0022,Sofia Lee,KR
INV0023,Min Mueller,DE
INV0024,Wei Lee,GB
INV0025,Park Rossi,KR
INV0026,Carlos Zhang,FR
INV0027,Priya Wang,JP
INV0028,Li Hassan,IN
INV0029,Omar Rossi,CN
INV0031,John Garcia,IN
INV0032,James Zhang,US
INV0033,Sofia Patel,FR
INV0034,Alice Rossi,GB
INV0035,James Rossi,CN
INV0036,Omar Patel,KR
INV0037,Carlos Brown,IN
INV0038,Sofia Smith,GB
INV0039,John Mueller,CA
INV0040,John Dupont,CA
INV0041,Park Tanaka,FR
INV0042,Kenji Garcia,KR
INV0043,Yuki Smith,GB
INV0044,Li Patel,IN
INV0045,Park Sato,CN
INV0046,Min Johnson,DE
INV0047,Priya Johnson,JP
INV0048,Yuki Dupont,CN
INV0049,Li Lee,US
INV0050,Kenji Johnson,DE
INV0051,Wei Johnson,CA
INV0052,James Patel,JP
INV0053,Priya Tanaka,TW
INV0054,Kenji Kim,TW
INV0055,James Brown,IN
INV0056,Min Sato,IN
INV0057,Carlos Sato,KR
INV0058,Min Zhang,DE
INV0059,Priya Johnson,FR
INV0060,Emma Rossi,IN
INV0061,Wei Zhang,GB
INV0062,James Dupont,FR
INV0063,Min Dupont,FR
INV0064,Park Brown,US
INV0065,Priya Mueller,JP
INV0066,Alice Lee,TW
INV0067,Park Tanaka,TW
INV0068,John Rossi,KR
INV0069,Min Brown,FR
INV0070,Yuki Patel,CN
INV0071,Wei Garcia,US
INV0072,Min Lee,JP
INV0073,Omar Hassan,DE
INV0074,John Dupont,CN
INV0075,Hans Wang,TW
INV0076,John Dupont,KR
INV0077,Carlos Sato,KR
INV0078,Min Sato,CA
INV0079,Priya Mueller,CA
INV0081,Carlos Garcia,US
INV0082,James Lee,CA
INV0083,John Mueller,JP
INV0084,John Mueller,KR
INV0085,Priya Garcia,IN
INV0086,Hans Smith,TW
INV0087,Emma Smith,CN
INV0088,James Brown,DE
INV0089,Emma Hassan,FR
INV0090,Omar Zhang,US
INV0091,Hans Hassan,GB
INV0092,Min Johnson,CA
INV0093,Carlos Zhang,FR
INV0094,Li Hassan,IN
INV0095,Kenji Zhang,JP
INV0096,Min Sato,TW
INV0097,Kenji Rossi,US
INV0098,John Kim,CA
INV0099,Hans Dupont,TW
INV0100,James Garcia,JP
INV0101,John Dupont,FR
INV0102,Alice Brown,DE
INV0103,Min Sato,DE
INV0104,Priya Smith,DE
INV0105,Sofia Johnson,US
INV0106,Kenji Mueller,KR
INV0107,Yuki Dupont,GB
INV0108,Emma Tanaka,CN
INV0110,Emma Lee,KR
INV0111,James Kim,IN
INV0112,Yuki Johnson,DE
INV0113,Sofia Lee,FR
INV0115,Min Brown,JP
INV0116,Park Sato,KR
INV0117,Omar Tanaka,DE
INV0118,Carlos Garcia,CA
INV0119,Sofia Tanaka,GB
INV0120,Sofia Patel,JP
INV0121,Emma Rossi,IN
INV0122,Sofia Tanaka,FR
INV0123,Wei Sato,CA
INV0124,Carlos Zhang,JP
INV0125,Alice Hassan,JP
INV0126,Carlos Smith,FR
INV0127,Sofia Johnson,GB
INV0128,Hans Wang,DE
INV0129,Yuki Patel,KR
INV0130,Wei Tanaka,JP
INV0131,John Patel,IN
INV0132,Park Mueller,IN
INV0133,Park Lee,KR
INV0134,Park Kim,KR
INV0135,Emma Smith,FR
INV0136,Wei Garcia,TW
INV0137,Yuki Sato,IN
INV0139,Yuki Hassan,GB
INV0140,Li Wang,JP
INV0141,Yuki Kim,KR
INV0142,John Johnson,US
INV0143,Sofia Mueller,GB
INV0144,Min Garcia,KR
INV0145,Priya Kim,CN
INV0146,Yuki Rossi,TW
INV0147,Omar Lee,TW
INV0148,Carlos Dupont,TW
INV0149,Sofia Kim,GB
INV0150,James Patel,US
INV0151,Park Garcia,GB
INV0152,Carlos Dupont,GB
INV0153,Park Garcia,IN
INV0154,Park Sato,CA
INV0155,Emma Rossi,US
INV0156,Kenji Zhang,TW
INV0157,Li Hassan,US
INV0158,Sofia Kim,CA
INV0159,Kenji Johnson,US
INV0160,Kenji Johnson,CA
INV0161,Priya Brown,US
INV0162,Min Mueller,TW
INV0163,James Rossi,DE
INV0164,Priya Hassan,DE
INV0166,Hans Lee,US
INV0167,Carlos Sato,JP
INV0168,Li Hassan,TW
INV0169,Wei Garcia,CA
INV0170,Wei Tanaka,IN
INV0171,Sofia Garcia,CA
INV0172,Yuki Johnson,GB
INV0173,Alice Wang,US
INV0174,Yuki Wang,IN
INV0175,Sofia Garcia,KR
INV0176,Sofia Wang,CN
INV0177,Hans Dupont,JP
INV0178,Carlos Garcia,CN
INV0179,Wei Zhang,TW
INV0180,Emma Dupont,CN
INV0181,Kenji Garcia,GB
INV0182,Carlos Patel,CA
INV0183,Park Tanaka,GB
INV0184,Kenji Johnson,US
INV0185,Priya Tanaka,FR
INV0186,Park Hassan,JP
INV0187,Yuki Hassan,JP
INV0188,Yuki Patel,US
INV0189,James Mueller,DE
INV0190,Carlos Patel,TW
INV0191,Hans Brown,JP
INV0193,Min Smith,IN
INV0194,Priya Mueller,US
INV0195,Li Wang,TW
INV0196,Kenji Patel,US
INV0197,Park Rossi,TW
INV0198,Min Kim,IN
INV0199,Emma Wang,TW
INV0200,James Wang,CN
INV0201,Park Lee,US
INV0202,Min Rossi,CA
INV0205,John Tanaka,JP
INV0206,John Brown,FR
INV0207,John Tanaka,US
INV0208,Emma Lee,IN
INV0209,Hans Dupont,CN
INV0210,John Zhang,GB
INV0211,Yuki Tanaka,DE
INV0212,Park Brown,IN
INV0213,Park Patel,CA
INV0214,Yuki Wang,IN
INV0215,Alice Rossi,US
INV0216,Wei Patel,DE
INV0217,Alice Dupont,GB
INV0218,Omar Zhang,GB
INV0219,Omar Sato,CN
INV0220,Hans Wang,JP
INV0221,Wei Garcia,DE
INV0222,Alice Sato,GB
INV0223,Kenji Kim,KR
INV0224,Park Smith,CN
INV0225,Park Garcia,CA
INV0226,Wei Wang,IN
INV0227,Sofia Patel,DE
INV0228,James Lee,FR
INV0229,Hans Sato,IN
INV0230,Park Dupont,JP
INV0231,Park Lee,TW
INV0232,Kenji Garcia,TW
INV0233,Li Patel,JP
INV0234,Sofia Lee,KR
INV0235,Carlos Mueller,KR
INV0236,John Zhang,US
INV0237,Li Brown,CN
INV0238,Carlos Hassan,KR
INV0239,Priya Lee,GB
INV0240,James Smith,FR
INV0241,Alice Sato,KR
INV0242,John Brown,KR
INV0243,Carlos Mueller,DE
INV0244,Priya Zhang,DE
INV0245,Hans Sato,CA
INV0246,Alice Patel,US
INV0247,Wei Brown,FR
INV0248,Alice Johnson,IN
INV0249,Park Smith,JP
INV0250,Min Dupont,FR
INV0251,Sofia Brown,TW
INV0252,Sofia Wang,US
INV0253,Emma Tanaka,TW
INV0254,Yuki Brown,TW
INV0255,Sofia Hassan,CA
INV0256,Sofia Dupont,TW
INV0257,Priya Hassan,GB
INV0258,Sofia Garcia,US
INV0259,Omar Sato,DE
INV0261,Kenji Sato,US
INV0262,Min Lee,FR
INV0263,Priya Rossi,FR
INV0264,Wei Tanaka,DE
INV0265,Omar Smith,FR
INV0267,Omar Tanaka,IN
INV0268,Park Johnson,JP
INV0269,Park Zhang,DE
INV0270,Carlos Hassan,FR
INV0271,Carlos Smith,DE
INV0272,James Zhang,TW
INV0273,Sofia Kim,FR
INV0274,Li Hassan,DE
INV0275,Min Sato,DE
INV0276,Yuki Zhang,FR
INV0277,Priya Smith,KR
INV0278,Sofia Zhang,TW
INV0280,Sofia Sato,JP
INV0281,Min Dupont,TW
INV0282,Carlos Hassan,CA
INV0283,Hans Patel,FR
INV0284,Yuki Patel,CN
INV0285,Omar Sato,JP
INV0286,Min Garcia,US
INV0287,Li Johnson,CA
INV0288,Wei Smith,DE
INV0289,Sofia Smith,IN
INV0290,Omar Zhang,FR
INV0291,Li Rossi,US
INV0292,Wei Sato,DE
INV0293,John Lee,DE
INV0294,Emma Rossi,KR
INV0295,Alice Kim,KR
INV0296,Hans Mueller,CA
INV0297,Alice Patel,TW
INV0298,Emma Zhang,DE
INV0299,Yuki Tanaka,DE
INV0300,Wei Smith,IN
